                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
17,1.1037,1.0897,1.283,0.6674,0.55137,0.61037,0.43488,1.0534,0.98447,1.2715,0.007888,0.007888,0.007888
18,1.0938,1.0686,1.2776,0.6494,0.56727,0.61934,0.44438,1.0376,0.98814,1.2571,0.007756,0.007756,0.007756
19,1.0889,1.0538,1.2742,0.6505,0.57677,0.62034,0.44655,1.0347,0.96938,1.2494,0.007624,0.007624,0.007624
20,1.0734,1.0359,1.2636,0.6869,0.56557,0.62818,0.45233,1.021,0.94225,1.2468,0.007492,0.007492,0.007492
21,1.0646,1.0209,1.2566,0.69209,0.58259,0.63619,0.45804,1.023,0.9257,1.2426,0.00736,0.00736,0.00736
22,1.0629,1.0073,1.2504,0.69335,0.57903,0.64684,0.46641,1.0138,0.91101,1.2403,0.007228,0.007228,0.007228
23,1.0521,0.99563,1.247,0.68745,0.59342,0.65073,0.47026,1.0057,0.90019,1.2355,0.007096,0.007096,0.007096
24,1.0425,0.97783,1.2401,0.68556,0.60134,0.65588,0.47798,0.9977,0.89559,1.2283,0.006964,0.006964,0.006964
25,1.0409,0.97242,1.2396,0.69492,0.59968,0.65951,0.4783,0.99212,0.87708,1.2218,0.006832,0.006832,0.006832
26,1.0255,0.95069,1.228,0.70061,0.59249,0.6616,0.48507,0.98373,0.87603,1.2167,0.0067,0.0067,0.0067
27,1.0212,0.94551,1.2251,0.70505,0.5952,0.6626,0.48703,0.98401,0.87158,1.2162,0.006568,0.006568,0.006568
28,1.0152,0.93534,1.2209,0.69701,0.60438,0.66873,0.48976,0.9783,0.86483,1.21,0.006436,0.006436,0.006436
29,1.011,0.9215,1.218,0.68181,0.60744,0.66764,0.49063,0.97563,0.85991,1.2101,0.006304,0.006304,0.006304
30,1.0037,0.9104,1.2111,0.72723,0.59325,0.67351,0.49363,0.96943,0.84923,1.2031,0.006172,0.006172,0.006172
31,0.99771,0.9075,1.2107,0.70903,0.61308,0.6751,0.49821,0.96948,0.84096,1.2019,0.00604,0.00604,0.00604
32,0.99407,0.8925,1.2066,0.71273,0.60642,0.67514,0.49799,0.96516,0.83145,1.2044,0.005908,0.005908,0.005908
33,0.98384,0.88342,1.1985,0.73507,0.60707,0.6852,0.5035,0.96153,0.82613,1.2003,0.005776,0.005776,0.005776
34,0.98353,0.87724,1.1984,0.70574,0.61732,0.68341,0.50321,0.95516,0.82742,1.1926,0.005644,0.005644,0.005644
35,0.9755,0.87012,1.192,0.73254,0.60672,0.68361,0.5034,0.95874,0.81954,1.1957,0.005512,0.005512,0.005512
36,0.9669,0.85805,1.1871,0.74186,0.60561,0.68802,0.50611,0.95587,0.81194,1.1933,0.00538,0.00538,0.00538
37,0.96633,0.8509,1.1878,0.75238,0.60124,0.68984,0.50886,0.95372,0.80633,1.193,0.005248,0.005248,0.005248
38,0.95526,0.83543,1.1778,0.7429,0.60554,0.68935,0.50666,0.95469,0.80928,1.1946,0.005116,0.005116,0.005116
39,0.95641,0.83386,1.1777,0.72863,0.62166,0.69154,0.51092,0.95142,0.8068,1.1911,0.004984,0.004984,0.004984
40,0.94856,0.82623,1.175,0.72229,0.6289,0.69266,0.51149,0.95215,0.80132,1.191,0.004852,0.004852,0.004852
41,0.94449,0.81333,1.1705,0.73875,0.61925,0.69397,0.51427,0.95131,0.80163,1.1928,0.00472,0.00472,0.00472
42,0.94134,0.81046,1.1682,0.73464,0.62484,0.69207,0.51465,0.94665,0.79966,1.1888,0.004588,0.004588,0.004588
43,0.93399,0.79652,1.1635,0.7348,0.6264,0.69471,0.51558,0.94638,0.7982,1.1874,0.004456,0.004456,0.004456
44,0.92513,0.78717,1.1604,0.74856,0.62582,0.69869,0.51815,0.94578,0.79278,1.1885,0.004324,0.004324,0.004324
45,0.92232,0.78586,1.1586,0.74835,0.62497,0.70046,0.51958,0.94542,0.78859,1.1884,0.004192,0.004192,0.004192
46,0.92197,0.78153,1.1558,0.75565,0.61982,0.69973,0.51891,0.94737,0.78951,1.1919,0.00406,0.00406,0.00406
